
PING 10.0.100.129 (10.0.100.129) 56(84) bytes of data.
64 bytes from 10.0.100.129: icmp_seq=56 ttl=60 time=0.592 ms
64 bytes from 10.0.100.129: icmp_seq=57 ttl=60 time=0.604 ms
64 bytes from 10.0.100.129: icmp_seq=58 ttl=60 time=0.861 ms
64 bytes from 10.0.100.129: icmp_seq=59 ttl=60 time=0.595 ms
64 bytes from 10.0.100.129: icmp_seq=60 ttl=60 time=0.604 ms

--- 10.0.100.129 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 58997ms
rtt min/avg/max/mdev = 0.553/0.603/0.861/0.055 ms
PING 10.0.100.129 (10.0.100.129) 56(84) bytes of data.
64 bytes from 10.0.100.129: icmp_seq=1 ttl=60 time=0.692 ms
64 bytes from 10.0.100.129: icmp_seq=2 ttl=60 time=0.587 ms
64 bytes from 10.0.100.129: icmp_seq=3 ttl=60 time=0.541 ms
64 bytes from 10.0.100.129: icmp_seq=4 ttl=60 time=0.541 ms
64 bytes from 10.0.100.129: icmp_seq=5 ttl=60 time=0.712 ms
64 bytes from 10.0.100.129: icmp_seq=6 ttl=60 time=0.541 ms
64 bytes from 10.0.100.129: icmp_seq=7 ttl=60 time=0.537 ms
64 bytes from 10.0.100.129: icmp_seq=8 ttl=60 time=0.540 ms
64 bytes from 10.0.100.129: icmp_seq=9 ttl=60 time=0.559 ms
64 bytes from 10.0.100.129: icmp_seq=10 ttl=60 time=0.608 ms
64 bytes from 10.0.100.129: icmp_seq=11 ttl=60 time=0.561 ms
64 bytes from 10.0.100.129: icmp_seq=12 ttl=60 time=0.565 ms
64 bytes from 10.0.100.129: icmp_seq=13 ttl=60 time=0.519 ms
64 bytes from 10.0.100.129: icmp_seq=14 ttl=60 time=0.668 ms
64 bytes from 10.0.100.129: icmp_seq=15 ttl=60 time=0.723 ms
64 bytes from 10.0.100.129: icmp_seq=16 ttl=60 time=0.770 ms
64 bytes from 10.0.100.129: icmp_seq=17 ttl=60 time=0.738 ms
64 bytes from 10.0.100.129: icmp_seq=18 ttl=60 time=0.722 ms
64 bytes from 10.0.100.129: icmp_seq=19 ttl=60 time=0.688 ms
64 bytes from 10.0.100.129: icmp_seq=20 ttl=60 time=0.791 ms
64 bytes from 10.0.100.129: icmp_seq=21 ttl=60 time=0.695 ms
64 bytes from 10.0.100.129: icmp_seq=22 ttl=60 time=0.734 ms
64 bytes from 10.0.100.129: icmp_seq=23 ttl=60 time=0.747 ms
64 bytes from 10.0.100.129: icmp_seq=24 ttl=60 time=0.647 ms
64 bytes from 10.0.100.129: icmp_seq=25 ttl=60 time=0.680 ms
64 bytes from 10.0.100.129: icmp_seq=26 ttl=60 time=0.782 ms
64 bytes from 10.0.100.129: icmp_seq=27 ttl=60 time=0.699 ms
64 bytes from 10.0.100.129: icmp_seq=28 ttl=60 time=0.640 ms
64 bytes from 10.0.100.129: icmp_seq=29 ttl=60 time=0.685 ms
64 bytes from 10.0.100.129: icmp_seq=30 ttl=60 time=0.719 ms
64 bytes from 10.0.100.129: icmp_seq=31 ttl=60 time=0.540 ms
