PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=19 ttl=64 time=0.615 ms
64 bytes from 11.0.0.18: icmp_seq=20 ttl=64 time=0.525 ms
64 bytes from 11.0.0.18: icmp_seq=21 ttl=64 time=0.633 ms
64 bytes from 11.0.0.18: icmp_seq=22 ttl=64 time=0.573 ms
64 bytes from 11.0.0.18: icmp_seq=23 ttl=64 time=0.588 ms
64 bytes from 11.0.0.18: icmp_seq=24 ttl=64 time=0.628 ms
64 bytes from 11.0.0.18: icmp_seq=25 ttl=64 time=0.557 ms
64 bytes from 11.0.0.18: icmp_seq=26 ttl=64 time=0.566 ms
64 bytes from 11.0.0.18: icmp_seq=27 ttl=64 time=0.623 ms
64 bytes from 11.0.0.18: icmp_seq=28 ttl=64 time=0.445 ms
64 bytes from 11.0.0.18: icmp_seq=29 ttl=64 time=0.607 ms
64 bytes from 11.0.0.18: icmp_seq=30 ttl=64 time=0.589 ms
64 bytes from 11.0.0.18: icmp_seq=31 ttl=64 time=0.601 ms
64 bytes from 11.0.0.18: icmp_seq=32 ttl=64 time=0.698 ms
64 bytes from 11.0.0.18: icmp_seq=33 ttl=64 time=0.576 ms
64 bytes from 11.0.0.18: icmp_seq=34 ttl=64 time=0.595 ms
64 bytes from 11.0.0.18: icmp_seq=35 ttl=64 time=0.594 ms
64 bytes from 11.0.0.18: icmp_seq=36 ttl=64 time=0.615 ms
64 bytes from 11.0.0.18: icmp_seq=37 ttl=64 time=0.601 ms
64 bytes from 11.0.0.18: icmp_seq=38 ttl=64 time=0.603 ms
64 bytes from 11.0.0.18: icmp_seq=39 ttl=64 time=0.626 ms
64 bytes from 11.0.0.18: icmp_seq=40 ttl=64 time=0.658 ms
64 bytes from 11.0.0.18: icmp_seq=41 ttl=64 time=0.667 ms
64 bytes from 11.0.0.18: icmp_seq=42 ttl=64 time=0.637 ms
64 bytes from 11.0.0.18: icmp_seq=43 ttl=64 time=0.610 ms
64 bytes from 11.0.0.18: icmp_seq=44 ttl=64 time=0.845 ms
64 bytes from 11.0.0.18: icmp_seq=45 ttl=64 time=0.660 ms
64 bytes from 11.0.0.18: icmp_seq=46 ttl=64 time=0.673 ms
64 bytes from 11.0.0.18: icmp_seq=47 ttl=64 time=0.673 ms
64 bytes from 11.0.0.18: icmp_seq=48 ttl=64 time=0.698 ms
64 bytes from 11.0.0.18: icmp_seq=49 ttl=64 time=0.611 ms
64 bytes from 11.0.0.18: icmp_seq=50 ttl=64 time=0.612 ms
64 bytes from 11.0.0.18: icmp_seq=51 ttl=64 time=0.562 ms
64 bytes from 11.0.0.18: icmp_seq=52 ttl=64 time=0.724 ms
64 bytes from 11.0.0.18: icmp_seq=53 ttl=64 time=0.547 ms
64 bytes from 11.0.0.18: icmp_seq=54 ttl=64 time=0.499 ms
64 bytes from 11.0.0.18: icmp_seq=55 ttl=64 time=0.508 ms
64 bytes from 11.0.0.18: icmp_seq=56 ttl=64 time=0.494 ms
64 bytes from 11.0.0.18: icmp_seq=57 ttl=64 time=0.675 ms
64 bytes from 11.0.0.18: icmp_seq=58 ttl=64 time=0.607 ms
64 bytes from 11.0.0.18: icmp_seq=59 ttl=64 time=0.616 ms
64 bytes from 11.0.0.18: icmp_seq=60 ttl=64 time=0.616 ms

--- 11.0.0.18 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 58999ms
rtt min/avg/max/mdev = 0.430/0.597/0.845/0.075 ms
PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=1 ttl=64 time=0.660 ms
64 bytes from 11.0.0.18: icmp_seq=2 ttl=64 time=0.578 ms
64 bytes from 11.0.0.18: icmp_seq=3 ttl=64 time=0.619 ms
64 bytes from 11.0.0.18: icmp_seq=4 ttl=64 time=0.611 ms
64 bytes from 11.0.0.18: icmp_seq=5 ttl=64 time=0.574 ms
64 bytes from 11.0.0.18: icmp_seq=6 ttl=64 time=0.358 ms
64 bytes from 11.0.0.18: icmp_seq=7 ttl=64 time=0.546 ms
64 bytes from 11.0.0.18: icmp_seq=8 ttl=64 time=0.595 ms
64 bytes from 11.0.0.18: icmp_seq=9 ttl=64 time=0.560 ms
64 bytes from 11.0.0.18: icmp_seq=10 ttl=64 time=0.523 ms
64 bytes from 11.0.0.18: icmp_seq=11 ttl=64 time=0.615 ms
64 bytes from 11.0.0.18: icmp_seq=12 ttl=64 time=0.588 ms
64 bytes from 11.0.0.18: icmp_seq=13 ttl=64 time=0.498 ms
64 bytes from 11.0.0.18: icmp_seq=14 ttl=64 time=0.581 ms
64 bytes from 11.0.0.18: icmp_seq=15 ttl=64 time=0.658 ms
64 bytes from 11.0.0.18: icmp_seq=16 ttl=64 time=0.579 ms
64 bytes from 11.0.0.18: icmp_seq=17 ttl=64 time=0.493 ms
64 bytes from 11.0.0.18: icmp_seq=18 ttl=64 time=0.595 ms
64 bytes from 11.0.0.18: icmp_seq=19 ttl=64 time=0.461 ms
64 bytes from 11.0.0.18: icmp_seq=20 ttl=64 time=0.819 ms
64 bytes from 11.0.0.18: icmp_seq=21 ttl=64 time=0.601 ms
64 bytes from 11.0.0.18: icmp_seq=22 ttl=64 time=0.585 ms
64 bytes from 11.0.0.18: icmp_seq=23 ttl=64 time=0.564 ms
64 bytes from 11.0.0.18: icmp_seq=24 ttl=64 time=0.507 ms
64 bytes from 11.0.0.18: icmp_seq=25 ttl=64 time=0.548 ms
64 bytes from 11.0.0.18: icmp_seq=26 ttl=64 time=0.466 ms
64 bytes from 11.0.0.18: icmp_seq=27 ttl=64 time=0.457 ms
64 bytes from 11.0.0.18: icmp_seq=28 ttl=64 time=0.497 ms
64 bytes from 11.0.0.18: icmp_seq=29 ttl=64 time=0.473 ms
64 bytes from 11.0.0.18: icmp_seq=30 ttl=64 time=0.504 ms
64 bytes from 11.0.0.18: icmp_seq=31 ttl=64 time=0.507 ms
64 bytes from 11.0.0.18: icmp_seq=32 ttl=64 time=0.594 ms
64 bytes from 11.0.0.18: icmp_seq=33 ttl=64 time=0.486 ms
64 bytes from 11.0.0.18: icmp_seq=34 ttl=64 time=0.588 ms
64 bytes from 11.0.0.18: icmp_seq=35 ttl=64 time=0.714 ms
64 bytes from 11.0.0.18: icmp_seq=36 ttl=64 time=0.479 ms
64 bytes from 11.0.0.18: icmp_seq=37 ttl=64 time=0.493 ms
64 bytes from 11.0.0.18: icmp_seq=38 ttl=64 time=0.508 ms
64 bytes from 11.0.0.18: icmp_seq=39 ttl=64 time=0.500 ms
64 bytes from 11.0.0.18: icmp_seq=40 ttl=64 time=0.600 ms
64 bytes from 11.0.0.18: icmp_seq=41 ttl=64 time=0.485 ms
64 bytes from 11.0.0.18: icmp_seq=42 ttl=64 time=0.580 ms
64 bytes from 11.0.0.18: icmp_seq=43 ttl=64 time=0.476 ms
64 bytes from 11.0.0.18: icmp_seq=44 ttl=64 time=0.493 ms
64 bytes from 11.0.0.18: icmp_seq=45 ttl=64 time=0.569 ms
64 bytes from 11.0.0.18: icmp_seq=46 ttl=64 time=0.369 ms
64 bytes from 11.0.0.18: icmp_seq=47 ttl=64 time=0.555 ms
64 bytes from 11.0.0.18: icmp_seq=48 ttl=64 time=0.474 ms
64 bytes from 11.0.0.18: icmp_seq=49 ttl=64 time=0.518 ms
64 bytes from 11.0.0.18: icmp_seq=50 ttl=64 time=0.522 ms
64 bytes from 11.0.0.18: icmp_seq=51 ttl=64 time=0.471 ms
64 bytes from 11.0.0.18: icmp_seq=52 ttl=64 time=0.597 ms
64 bytes from 11.0.0.18: icmp_seq=53 ttl=64 time=0.484 ms
64 bytes from 11.0.0.18: icmp_seq=54 ttl=64 time=0.482 ms
64 bytes from 11.0.0.18: icmp_seq=55 ttl=64 time=0.609 ms
64 bytes from 11.0.0.18: icmp_seq=56 ttl=64 time=0.370 ms
64 bytes from 11.0.0.18: icmp_seq=57 ttl=64 time=0.570 ms
64 bytes from 11.0.0.18: icmp_seq=58 ttl=64 time=0.599 ms
64 bytes from 11.0.0.18: icmp_seq=59 ttl=64 time=0.599 ms
64 bytes from 11.0.0.18: icmp_seq=60 ttl=64 time=0.485 ms

--- 11.0.0.18 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59001ms
rtt min/avg/max/mdev = 0.358/0.541/0.819/0.081 ms
PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=1 ttl=64 time=0.651 ms
64 bytes from 11.0.0.18: icmp_seq=2 ttl=64 time=0.483 ms
64 bytes from 11.0.0.18: icmp_seq=3 ttl=64 time=0.588 ms
64 bytes from 11.0.0.18: icmp_seq=4 ttl=64 time=0.588 ms
64 bytes from 11.0.0.18: icmp_seq=5 ttl=64 time=0.520 ms
64 bytes from 11.0.0.18: icmp_seq=6 ttl=64 time=0.696 ms
64 bytes from 11.0.0.18: icmp_seq=7 ttl=64 time=0.381 ms
64 bytes from 11.0.0.18: icmp_seq=8 ttl=64 time=0.465 ms
64 bytes from 11.0.0.18: icmp_seq=9 ttl=64 time=0.632 ms
64 bytes from 11.0.0.18: icmp_seq=10 ttl=64 time=0.502 ms
64 bytes from 11.0.0.18: icmp_seq=11 ttl=64 time=0.499 ms
64 bytes from 11.0.0.18: icmp_seq=12 ttl=64 time=0.521 ms
64 bytes from 11.0.0.18: icmp_seq=13 ttl=64 time=0.611 ms
64 bytes from 11.0.0.18: icmp_seq=14 ttl=64 time=0.513 ms
64 bytes from 11.0.0.18: icmp_seq=15 ttl=64 time=0.433 ms
64 bytes from 11.0.0.18: icmp_seq=16 ttl=64 time=0.493 ms
64 bytes from 11.0.0.18: icmp_seq=17 ttl=64 time=0.420 ms
64 bytes from 11.0.0.18: icmp_seq=18 ttl=64 time=0.446 ms
64 bytes from 11.0.0.18: icmp_seq=19 ttl=64 time=0.520 ms
64 bytes from 11.0.0.18: icmp_seq=20 ttl=64 time=0.605 ms
64 bytes from 11.0.0.18: icmp_seq=21 ttl=64 time=0.506 ms
64 bytes from 11.0.0.18: icmp_seq=22 ttl=64 time=0.541 ms
64 bytes from 11.0.0.18: icmp_seq=23 ttl=64 time=0.498 ms
64 bytes from 11.0.0.18: icmp_seq=24 ttl=64 time=0.584 ms
64 bytes from 11.0.0.18: icmp_seq=25 ttl=64 time=0.514 ms
64 bytes from 11.0.0.18: icmp_seq=26 ttl=64 time=0.525 ms
64 bytes from 11.0.0.18: icmp_seq=27 ttl=64 time=0.535 ms
64 bytes from 11.0.0.18: icmp_seq=28 ttl=64 time=0.528 ms
64 bytes from 11.0.0.18: icmp_seq=29 ttl=64 time=0.494 ms
64 bytes from 11.0.0.18: icmp_seq=30 ttl=64 time=0.535 ms
64 bytes from 11.0.0.18: icmp_seq=31 ttl=64 time=0.609 ms
64 bytes from 11.0.0.18: icmp_seq=32 ttl=64 time=0.604 ms
64 bytes from 11.0.0.18: icmp_seq=33 ttl=64 time=0.592 ms
64 bytes from 11.0.0.18: icmp_seq=34 ttl=64 time=0.602 ms
64 bytes from 11.0.0.18: icmp_seq=35 ttl=64 time=0.517 ms
64 bytes from 11.0.0.18: icmp_seq=36 ttl=64 time=0.484 ms
64 bytes from 11.0.0.18: icmp_seq=37 ttl=64 time=0.512 ms
64 bytes from 11.0.0.18: icmp_seq=38 ttl=64 time=0.567 ms
64 bytes from 11.0.0.18: icmp_seq=39 ttl=64 time=0.540 ms
64 bytes from 11.0.0.18: icmp_seq=40 ttl=64 time=0.615 ms
64 bytes from 11.0.0.18: icmp_seq=41 ttl=64 time=0.587 ms
64 bytes from 11.0.0.18: icmp_seq=42 ttl=64 time=0.524 ms
64 bytes from 11.0.0.18: icmp_seq=43 ttl=64 time=0.578 ms
64 bytes from 11.0.0.18: icmp_seq=44 ttl=64 time=0.512 ms
64 bytes from 11.0.0.18: icmp_seq=45 ttl=64 time=0.540 ms
64 bytes from 11.0.0.18: icmp_seq=46 ttl=64 time=0.600 ms
64 bytes from 11.0.0.18: icmp_seq=47 ttl=64 time=0.483 ms
64 bytes from 11.0.0.18: icmp_seq=48 ttl=64 time=0.574 ms
64 bytes from 11.0.0.18: icmp_seq=49 ttl=64 time=0.532 ms
64 bytes from 11.0.0.18: icmp_seq=50 ttl=64 time=0.546 ms
64 bytes from 11.0.0.18: icmp_seq=51 ttl=64 time=0.531 ms
64 bytes from 11.0.0.18: icmp_seq=52 ttl=64 time=0.620 ms
64 bytes from 11.0.0.18: icmp_seq=53 ttl=64 time=0.579 ms
64 bytes from 11.0.0.18: icmp_seq=54 ttl=64 time=0.502 ms
64 bytes from 11.0.0.18: icmp_seq=55 ttl=64 time=0.613 ms
