PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=19 ttl=64 time=0.528 ms
64 bytes from 11.0.0.18: icmp_seq=20 ttl=64 time=0.532 ms
64 bytes from 11.0.0.18: icmp_seq=21 ttl=64 time=0.536 ms
64 bytes from 11.0.0.18: icmp_seq=22 ttl=64 time=0.518 ms
64 bytes from 11.0.0.18: icmp_seq=23 ttl=64 time=0.621 ms
64 bytes from 11.0.0.18: icmp_seq=24 ttl=64 time=0.528 ms
64 bytes from 11.0.0.18: icmp_seq=25 ttl=64 time=0.562 ms
64 bytes from 11.0.0.18: icmp_seq=26 ttl=64 time=0.542 ms
64 bytes from 11.0.0.18: icmp_seq=27 ttl=64 time=0.528 ms
64 bytes from 11.0.0.18: icmp_seq=28 ttl=64 time=0.597 ms
64 bytes from 11.0.0.18: icmp_seq=29 ttl=64 time=0.541 ms
64 bytes from 11.0.0.18: icmp_seq=30 ttl=64 time=0.547 ms
64 bytes from 11.0.0.18: icmp_seq=31 ttl=64 time=0.481 ms
64 bytes from 11.0.0.18: icmp_seq=32 ttl=64 time=0.526 ms
64 bytes from 11.0.0.18: icmp_seq=33 ttl=64 time=0.525 ms
64 bytes from 11.0.0.18: icmp_seq=34 ttl=64 time=0.539 ms
64 bytes from 11.0.0.18: icmp_seq=35 ttl=64 time=0.557 ms
64 bytes from 11.0.0.18: icmp_seq=36 ttl=64 time=0.513 ms
64 bytes from 11.0.0.18: icmp_seq=37 ttl=64 time=0.530 ms
64 bytes from 11.0.0.18: icmp_seq=38 ttl=64 time=0.535 ms
64 bytes from 11.0.0.18: icmp_seq=39 ttl=64 time=0.537 ms
64 bytes from 11.0.0.18: icmp_seq=40 ttl=64 time=0.544 ms
64 bytes from 11.0.0.18: icmp_seq=41 ttl=64 time=0.544 ms
64 bytes from 11.0.0.18: icmp_seq=42 ttl=64 time=0.520 ms
64 bytes from 11.0.0.18: icmp_seq=43 ttl=64 time=0.538 ms
64 bytes from 11.0.0.18: icmp_seq=44 ttl=64 time=0.514 ms
64 bytes from 11.0.0.18: icmp_seq=45 ttl=64 time=0.546 ms
64 bytes from 11.0.0.18: icmp_seq=46 ttl=64 time=0.636 ms
64 bytes from 11.0.0.18: icmp_seq=47 ttl=64 time=0.547 ms
64 bytes from 11.0.0.18: icmp_seq=48 ttl=64 time=0.535 ms
64 bytes from 11.0.0.18: icmp_seq=49 ttl=64 time=0.508 ms
64 bytes from 11.0.0.18: icmp_seq=50 ttl=64 time=0.540 ms
64 bytes from 11.0.0.18: icmp_seq=51 ttl=64 time=0.532 ms
64 bytes from 11.0.0.18: icmp_seq=52 ttl=64 time=0.523 ms
64 bytes from 11.0.0.18: icmp_seq=53 ttl=64 time=0.529 ms
64 bytes from 11.0.0.18: icmp_seq=54 ttl=64 time=0.510 ms
64 bytes from 11.0.0.18: icmp_seq=55 ttl=64 time=0.551 ms
64 bytes from 11.0.0.18: icmp_seq=56 ttl=64 time=0.809 ms
64 bytes from 11.0.0.18: icmp_seq=57 ttl=64 time=0.543 ms
64 bytes from 11.0.0.18: icmp_seq=58 ttl=64 time=0.582 ms
64 bytes from 11.0.0.18: icmp_seq=59 ttl=64 time=0.473 ms
64 bytes from 11.0.0.18: icmp_seq=60 ttl=64 time=0.537 ms

--- 11.0.0.18 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 58997ms
rtt min/avg/max/mdev = 0.460/0.546/0.809/0.048 ms
PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=1 ttl=64 time=0.559 ms
64 bytes from 11.0.0.18: icmp_seq=2 ttl=64 time=0.565 ms
64 bytes from 11.0.0.18: icmp_seq=3 ttl=64 time=0.554 ms
64 bytes from 11.0.0.18: icmp_seq=4 ttl=64 time=0.542 ms
64 bytes from 11.0.0.18: icmp_seq=5 ttl=64 time=0.535 ms
64 bytes from 11.0.0.18: icmp_seq=6 ttl=64 time=0.564 ms
64 bytes from 11.0.0.18: icmp_seq=7 ttl=64 time=0.538 ms
64 bytes from 11.0.0.18: icmp_seq=8 ttl=64 time=0.546 ms
64 bytes from 11.0.0.18: icmp_seq=9 ttl=64 time=0.532 ms
64 bytes from 11.0.0.18: icmp_seq=10 ttl=64 time=0.534 ms
64 bytes from 11.0.0.18: icmp_seq=11 ttl=64 time=0.560 ms
64 bytes from 11.0.0.18: icmp_seq=12 ttl=64 time=0.550 ms
64 bytes from 11.0.0.18: icmp_seq=13 ttl=64 time=0.540 ms
64 bytes from 11.0.0.18: icmp_seq=14 ttl=64 time=0.565 ms
64 bytes from 11.0.0.18: icmp_seq=15 ttl=64 time=0.563 ms
64 bytes from 11.0.0.18: icmp_seq=16 ttl=64 time=0.579 ms
64 bytes from 11.0.0.18: icmp_seq=17 ttl=64 time=0.558 ms
64 bytes from 11.0.0.18: icmp_seq=18 ttl=64 time=0.581 ms
64 bytes from 11.0.0.18: icmp_seq=19 ttl=64 time=0.559 ms
64 bytes from 11.0.0.18: icmp_seq=20 ttl=64 time=0.476 ms
64 bytes from 11.0.0.18: icmp_seq=21 ttl=64 time=0.509 ms
64 bytes from 11.0.0.18: icmp_seq=22 ttl=64 time=0.561 ms
64 bytes from 11.0.0.18: icmp_seq=23 ttl=64 time=0.549 ms
64 bytes from 11.0.0.18: icmp_seq=24 ttl=64 time=0.546 ms
64 bytes from 11.0.0.18: icmp_seq=25 ttl=64 time=0.546 ms
64 bytes from 11.0.0.18: icmp_seq=26 ttl=64 time=0.651 ms
64 bytes from 11.0.0.18: icmp_seq=27 ttl=64 time=0.552 ms
64 bytes from 11.0.0.18: icmp_seq=28 ttl=64 time=0.557 ms
64 bytes from 11.0.0.18: icmp_seq=29 ttl=64 time=0.547 ms
64 bytes from 11.0.0.18: icmp_seq=30 ttl=64 time=0.568 ms
64 bytes from 11.0.0.18: icmp_seq=31 ttl=64 time=0.466 ms
64 bytes from 11.0.0.18: icmp_seq=32 ttl=64 time=0.572 ms
64 bytes from 11.0.0.18: icmp_seq=33 ttl=64 time=0.553 ms
64 bytes from 11.0.0.18: icmp_seq=34 ttl=64 time=0.563 ms
64 bytes from 11.0.0.18: icmp_seq=35 ttl=64 time=0.547 ms
64 bytes from 11.0.0.18: icmp_seq=36 ttl=64 time=0.577 ms
64 bytes from 11.0.0.18: icmp_seq=37 ttl=64 time=0.540 ms
64 bytes from 11.0.0.18: icmp_seq=38 ttl=64 time=0.555 ms
64 bytes from 11.0.0.18: icmp_seq=39 ttl=64 time=0.554 ms
64 bytes from 11.0.0.18: icmp_seq=40 ttl=64 time=0.549 ms
64 bytes from 11.0.0.18: icmp_seq=41 ttl=64 time=0.535 ms
64 bytes from 11.0.0.18: icmp_seq=42 ttl=64 time=0.582 ms
64 bytes from 11.0.0.18: icmp_seq=43 ttl=64 time=0.547 ms
64 bytes from 11.0.0.18: icmp_seq=44 ttl=64 time=0.564 ms
64 bytes from 11.0.0.18: icmp_seq=45 ttl=64 time=0.533 ms
64 bytes from 11.0.0.18: icmp_seq=46 ttl=64 time=0.555 ms
64 bytes from 11.0.0.18: icmp_seq=47 ttl=64 time=0.779 ms
64 bytes from 11.0.0.18: icmp_seq=48 ttl=64 time=0.546 ms
64 bytes from 11.0.0.18: icmp_seq=49 ttl=64 time=0.565 ms
64 bytes from 11.0.0.18: icmp_seq=50 ttl=64 time=0.558 ms
64 bytes from 11.0.0.18: icmp_seq=51 ttl=64 time=0.541 ms
64 bytes from 11.0.0.18: icmp_seq=52 ttl=64 time=0.580 ms
64 bytes from 11.0.0.18: icmp_seq=53 ttl=64 time=0.543 ms
64 bytes from 11.0.0.18: icmp_seq=54 ttl=64 time=0.554 ms
64 bytes from 11.0.0.18: icmp_seq=55 ttl=64 time=0.550 ms
64 bytes from 11.0.0.18: icmp_seq=56 ttl=64 time=0.583 ms
64 bytes from 11.0.0.18: icmp_seq=57 ttl=64 time=0.581 ms
64 bytes from 11.0.0.18: icmp_seq=58 ttl=64 time=0.570 ms
64 bytes from 11.0.0.18: icmp_seq=59 ttl=64 time=0.547 ms
64 bytes from 11.0.0.18: icmp_seq=60 ttl=64 time=0.565 ms

--- 11.0.0.18 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 58998ms
rtt min/avg/max/mdev = 0.466/0.557/0.779/0.042 ms
PING 11.0.0.18 (11.0.0.18) 56(84) bytes of data.
64 bytes from 11.0.0.18: icmp_seq=1 ttl=64 time=0.523 ms
64 bytes from 11.0.0.18: icmp_seq=2 ttl=64 time=0.475 ms
64 bytes from 11.0.0.18: icmp_seq=3 ttl=64 time=0.523 ms
64 bytes from 11.0.0.18: icmp_seq=4 ttl=64 time=0.473 ms
64 bytes from 11.0.0.18: icmp_seq=5 ttl=64 time=0.539 ms
64 bytes from 11.0.0.18: icmp_seq=6 ttl=64 time=0.530 ms
64 bytes from 11.0.0.18: icmp_seq=7 ttl=64 time=0.424 ms
