PING 10.0.100.129 (10.0.100.129) 56(84) bytes of data.
64 bytes from 10.0.100.129: icmp_seq=1 ttl=60 time=2.11 ms
64 bytes from 10.0.100.129: icmp_seq=2 ttl=60 time=0.867 ms
64 bytes from 10.0.100.129: icmp_seq=3 ttl=60 time=0.649 ms
64 bytes from 10.0.100.129: icmp_seq=4 ttl=60 time=0.516 ms
64 bytes from 10.0.100.129: icmp_seq=5 ttl=60 time=0.480 ms
64 bytes from 10.0.100.129: icmp_seq=6 ttl=60 time=0.633 ms
64 bytes from 10.0.100.129: icmp_seq=7 ttl=60 time=0.621 ms
64 bytes from 10.0.100.129: icmp_seq=8 ttl=60 time=0.590 ms
64 bytes from 10.0.100.129: icmp_seq=9 ttl=60 time=0.584 ms
64 bytes from 10.0.100.129: icmp_seq=10 ttl=60 time=0.688 ms
64 bytes from 10.0.100.129: icmp_seq=11 ttl=60 time=0.654 ms
64 bytes from 10.0.100.129: icmp_seq=12 ttl=60 time=0.626 ms
64 bytes from 10.0.100.129: icmp_seq=13 ttl=60 time=0.589 ms
64 bytes from 10.0.100.129: icmp_seq=14 ttl=60 time=0.493 ms
64 bytes from 10.0.100.129: icmp_seq=15 ttl=60 time=0.478 ms
64 bytes from 10.0.100.129: icmp_seq=16 ttl=60 time=0.595 ms
64 bytes from 10.0.100.129: icmp_seq=17 ttl=60 time=0.609 ms
64 bytes from 10.0.100.129: icmp_seq=18 ttl=60 time=0.489 ms
64 bytes from 10.0.100.129: icmp_seq=19 ttl=60 time=0.632 ms
64 bytes from 10.0.100.129: icmp_seq=20 ttl=60 time=0.639 ms
64 bytes from 10.0.100.129: icmp_seq=21 ttl=60 time=0.691 ms
64 bytes from 10.0.100.129: icmp_seq=22 ttl=60 time=0.438 ms
64 bytes from 10.0.100.129: icmp_seq=23 ttl=60 time=0.613 ms
64 bytes from 10.0.100.129: icmp_seq=24 ttl=60 time=0.593 ms
64 bytes from 10.0.100.129: icmp_seq=25 ttl=60 time=0.409 ms
64 bytes from 10.0.100.129: icmp_seq=26 ttl=60 time=0.414 ms
64 bytes from 10.0.100.129: icmp_seq=27 ttl=60 time=0.475 ms
64 bytes from 10.0.100.129: icmp_seq=28 ttl=60 time=0.559 ms
64 bytes from 10.0.100.129: icmp_seq=29 ttl=60 time=0.565 ms
64 bytes from 10.0.100.129: icmp_seq=30 ttl=60 time=0.545 ms
64 bytes from 10.0.100.129: icmp_seq=31 ttl=60 time=0.572 ms
64 bytes from 10.0.100.129: icmp_seq=32 ttl=60 time=0.644 ms
