PING 10.0.100.129 (10.0.100.129) 56(84) bytes of data.
64 bytes from 10.0.100.129: icmp_seq=19 ttl=60 time=0.643 ms
64 bytes from 10.0.100.129: icmp_seq=20 ttl=60 time=0.527 ms
64 bytes from 10.0.100.129: icmp_seq=21 ttl=60 time=0.393 ms
64 bytes from 10.0.100.129: icmp_seq=22 ttl=60 time=0.559 ms
64 bytes from 10.0.100.129: icmp_seq=23 ttl=60 time=0.610 ms
64 bytes from 10.0.100.129: icmp_seq=24 ttl=60 time=0.626 ms
64 bytes from 10.0.100.129: icmp_seq=25 ttl=60 time=0.581 ms
64 bytes from 10.0.100.129: icmp_seq=26 ttl=60 time=0.577 ms
64 bytes from 10.0.100.129: icmp_seq=27 ttl=60 time=0.662 ms
64 bytes from 10.0.100.129: icmp_seq=28 ttl=60 time=0.561 ms
64 bytes from 10.0.100.129: icmp_seq=29 ttl=60 time=0.653 ms
64 bytes from 10.0.100.129: icmp_seq=30 ttl=60 time=0.527 ms
64 bytes from 10.0.100.129: icmp_seq=31 ttl=60 time=0.488 ms
64 bytes from 10.0.100.129: icmp_seq=32 ttl=60 time=0.540 ms
64 bytes from 10.0.100.129: icmp_seq=33 ttl=60 time=0.560 ms
64 bytes from 10.0.100.129: icmp_seq=34 ttl=60 time=0.676 ms
64 bytes from 10.0.100.129: icmp_seq=35 ttl=60 time=0.638 ms
64 bytes from 10.0.100.129: icmp_seq=36 ttl=60 time=0.582 ms
64 bytes from 10.0.100.129: icmp_seq=37 ttl=60 time=0.538 ms
64 bytes from 10.0.100.129: icmp_seq=38 ttl=60 time=0.632 ms
64 bytes from 10.0.100.129: icmp_seq=39 ttl=60 time=0.652 ms
64 bytes from 10.0.100.129: icmp_seq=40 ttl=60 time=0.534 ms
64 bytes from 10.0.100.129: icmp_seq=41 ttl=60 time=0.406 ms
64 bytes from 10.0.100.129: icmp_seq=42 ttl=60 time=0.605 ms
64 bytes from 10.0.100.129: icmp_seq=43 ttl=60 time=0.538 ms
64 bytes from 10.0.100.129: icmp_seq=44 ttl=60 time=0.622 ms
64 bytes from 10.0.100.129: icmp_seq=45 ttl=60 time=0.645 ms
64 bytes from 10.0.100.129: icmp_seq=46 ttl=60 time=0.579 ms
64 bytes from 10.0.100.129: icmp_seq=47 ttl=60 time=0.559 ms
64 bytes from 10.0.100.129: icmp_seq=48 ttl=60 time=0.612 ms
64 bytes from 10.0.100.129: icmp_seq=49 ttl=60 time=0.641 ms
64 bytes from 10.0.100.129: icmp_seq=50 ttl=60 time=0.564 ms
64 bytes from 10.0.100.129: icmp_seq=51 ttl=60 time=0.519 ms
64 bytes from 10.0.100.129: icmp_seq=52 ttl=60 time=0.567 ms
64 bytes from 10.0.100.129: icmp_seq=53 ttl=60 time=0.652 ms
64 bytes from 10.0.100.129: icmp_seq=54 ttl=60 time=0.569 ms
64 bytes from 10.0.100.129: icmp_seq=55 ttl=60 time=0.642 ms
64 bytes from 10.0.100.129: icmp_seq=56 ttl=60 time=0.563 ms
64 bytes from 10.0.100.129: icmp_seq=57 ttl=60 time=0.635 ms
64 bytes from 10.0.100.129: icmp_seq=58 ttl=60 time=0.619 ms
64 bytes from 10.0.100.129: icmp_seq=59 ttl=60 time=0.541 ms
64 bytes from 10.0.100.129: icmp_seq=60 ttl=60 time=0.588 ms

--- 10.0.100.129 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 58998ms
rtt min/avg/max/mdev = 0.393/0.586/0.676/0.071 ms
PING 10.0.100.129 (10.0.100.129) 56(84) bytes of data.
64 bytes from 10.0.100.129: icmp_seq=1 ttl=60 time=0.662 ms
64 bytes from 10.0.100.129: icmp_seq=2 ttl=60 time=0.524 ms
64 bytes from 10.0.100.129: icmp_seq=3 ttl=60 time=0.590 ms
64 bytes from 10.0.100.129: icmp_seq=4 ttl=60 time=0.608 ms
64 bytes from 10.0.100.129: icmp_seq=5 ttl=60 time=0.724 ms
64 bytes from 10.0.100.129: icmp_seq=6 ttl=60 time=0.611 ms
64 bytes from 10.0.100.129: icmp_seq=7 ttl=60 time=0.614 ms
64 bytes from 10.0.100.129: icmp_seq=8 ttl=60 time=0.604 ms
64 bytes from 10.0.100.129: icmp_seq=9 ttl=60 time=0.539 ms
64 bytes from 10.0.100.129: icmp_seq=10 ttl=60 time=0.640 ms
64 bytes from 10.0.100.129: icmp_seq=11 ttl=60 time=0.545 ms
64 bytes from 10.0.100.129: icmp_seq=12 ttl=60 time=0.435 ms
64 bytes from 10.0.100.129: icmp_seq=13 ttl=60 time=0.635 ms
64 bytes from 10.0.100.129: icmp_seq=14 ttl=60 time=0.554 ms
64 bytes from 10.0.100.129: icmp_seq=15 ttl=60 time=0.625 ms
64 bytes from 10.0.100.129: icmp_seq=16 ttl=60 time=0.649 ms
64 bytes from 10.0.100.129: icmp_seq=17 ttl=60 time=0.614 ms
64 bytes from 10.0.100.129: icmp_seq=18 ttl=60 time=0.642 ms
64 bytes from 10.0.100.129: icmp_seq=19 ttl=60 time=0.484 ms
64 bytes from 10.0.100.129: icmp_seq=20 ttl=60 time=0.602 ms
64 bytes from 10.0.100.129: icmp_seq=21 ttl=60 time=0.653 ms
64 bytes from 10.0.100.129: icmp_seq=22 ttl=60 time=0.520 ms
64 bytes from 10.0.100.129: icmp_seq=23 ttl=60 time=0.450 ms
64 bytes from 10.0.100.129: icmp_seq=24 ttl=60 time=0.512 ms
64 bytes from 10.0.100.129: icmp_seq=25 ttl=60 time=0.555 ms
64 bytes from 10.0.100.129: icmp_seq=26 ttl=60 time=0.612 ms
64 bytes from 10.0.100.129: icmp_seq=27 ttl=60 time=0.529 ms
64 bytes from 10.0.100.129: icmp_seq=28 ttl=60 time=0.607 ms
64 bytes from 10.0.100.129: icmp_seq=29 ttl=60 time=0.590 ms
64 bytes from 10.0.100.129: icmp_seq=30 ttl=60 time=0.572 ms
64 bytes from 10.0.100.129: icmp_seq=31 ttl=60 time=0.450 ms
64 bytes from 10.0.100.129: icmp_seq=32 ttl=60 time=0.411 ms
64 bytes from 10.0.100.129: icmp_seq=33 ttl=60 time=0.601 ms
64 bytes from 10.0.100.129: icmp_seq=34 ttl=60 time=0.617 ms
64 bytes from 10.0.100.129: icmp_seq=35 ttl=60 time=0.603 ms
64 bytes from 10.0.100.129: icmp_seq=36 ttl=60 time=0.557 ms
64 bytes from 10.0.100.129: icmp_seq=37 ttl=60 time=0.655 ms
64 bytes from 10.0.100.129: icmp_seq=38 ttl=60 time=0.573 ms
64 bytes from 10.0.100.129: icmp_seq=39 ttl=60 time=0.626 ms
64 bytes from 10.0.100.129: icmp_seq=40 ttl=60 time=0.542 ms
64 bytes from 10.0.100.129: icmp_seq=41 ttl=60 time=0.544 ms
64 bytes from 10.0.100.129: icmp_seq=42 ttl=60 time=0.453 ms
64 bytes from 10.0.100.129: icmp_seq=43 ttl=60 time=0.583 ms
64 bytes from 10.0.100.129: icmp_seq=44 ttl=60 time=0.628 ms
64 bytes from 10.0.100.129: icmp_seq=45 ttl=60 time=0.664 ms
64 bytes from 10.0.100.129: icmp_seq=46 ttl=60 time=0.569 ms
64 bytes from 10.0.100.129: icmp_seq=47 ttl=60 time=0.554 ms
64 bytes from 10.0.100.129: icmp_seq=48 ttl=60 time=0.610 ms
64 bytes from 10.0.100.129: icmp_seq=49 ttl=60 time=0.556 ms
64 bytes from 10.0.100.129: icmp_seq=50 ttl=60 time=0.616 ms
64 bytes from 10.0.100.129: icmp_seq=51 ttl=60 time=0.620 ms
64 bytes from 10.0.100.129: icmp_seq=52 ttl=60 time=0.541 ms
64 bytes from 10.0.100.129: icmp_seq=53 ttl=60 time=0.632 ms
64 bytes from 10.0.100.129: icmp_seq=54 ttl=60 time=0.555 ms
64 bytes from 10.0.100.129: icmp_seq=55 ttl=60 time=0.637 ms
64 bytes from 10.0.100.129: icmp_seq=56 ttl=60 time=0.560 ms
64 bytes from 10.0.100.129: icmp_seq=57 ttl=60 time=0.619 ms
64 bytes from 10.0.100.129: icmp_seq=58 ttl=60 time=0.663 ms
64 bytes from 10.0.100.129: icmp_seq=59 ttl=60 time=0.611 ms
64 bytes from 10.0.100.129: icmp_seq=60 ttl=60 time=0.577 ms

--- 10.0.100.129 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59001ms
rtt min/avg/max/mdev = 0.411/0.582/0.724/0.063 ms
PING 10.0.100.129 (10.0.100.129) 56(84) bytes of data.
64 bytes from 10.0.100.129: icmp_seq=1 ttl=60 time=0.684 ms
64 bytes from 10.0.100.129: icmp_seq=2 ttl=60 time=0.520 ms
64 bytes from 10.0.100.129: icmp_seq=3 ttl=60 time=0.601 ms
64 bytes from 10.0.100.129: icmp_seq=4 ttl=60 time=0.479 ms
64 bytes from 10.0.100.129: icmp_seq=5 ttl=60 time=0.389 ms
64 bytes from 10.0.100.129: icmp_seq=6 ttl=60 time=0.500 ms
64 bytes from 10.0.100.129: icmp_seq=7 ttl=60 time=0.587 ms
64 bytes from 10.0.100.129: icmp_seq=8 ttl=60 time=0.638 ms
64 bytes from 10.0.100.129: icmp_seq=9 ttl=60 time=0.588 ms
64 bytes from 10.0.100.129: icmp_seq=10 ttl=60 time=0.645 ms
64 bytes from 10.0.100.129: icmp_seq=11 ttl=60 time=0.657 ms
64 bytes from 10.0.100.129: icmp_seq=12 ttl=60 time=0.654 ms
64 bytes from 10.0.100.129: icmp_seq=13 ttl=60 time=0.425 ms
64 bytes from 10.0.100.129: icmp_seq=14 ttl=60 time=0.562 ms
64 bytes from 10.0.100.129: icmp_seq=15 ttl=60 time=0.590 ms
64 bytes from 10.0.100.129: icmp_seq=16 ttl=60 time=0.654 ms
64 bytes from 10.0.100.129: icmp_seq=17 ttl=60 time=0.666 ms
64 bytes from 10.0.100.129: icmp_seq=18 ttl=60 time=0.542 ms
64 bytes from 10.0.100.129: icmp_seq=19 ttl=60 time=0.671 ms
64 bytes from 10.0.100.129: icmp_seq=20 ttl=60 time=0.554 ms
64 bytes from 10.0.100.129: icmp_seq=21 ttl=60 time=0.608 ms
64 bytes from 10.0.100.129: icmp_seq=22 ttl=60 time=0.608 ms
64 bytes from 10.0.100.129: icmp_seq=23 ttl=60 time=0.476 ms
64 bytes from 10.0.100.129: icmp_seq=24 ttl=60 time=0.642 ms
64 bytes from 10.0.100.129: icmp_seq=25 ttl=60 time=0.486 ms
64 bytes from 10.0.100.129: icmp_seq=26 ttl=60 time=0.685 ms
64 bytes from 10.0.100.129: icmp_seq=27 ttl=60 time=0.610 ms
64 bytes from 10.0.100.129: icmp_seq=28 ttl=60 time=0.601 ms
64 bytes from 10.0.100.129: icmp_seq=29 ttl=60 time=0.623 ms
64 bytes from 10.0.100.129: icmp_seq=30 ttl=60 time=0.606 ms
64 bytes from 10.0.100.129: icmp_seq=31 ttl=60 time=0.512 ms
64 bytes from 10.0.100.129: icmp_seq=32 ttl=60 time=0.670 ms
64 bytes from 10.0.100.129: icmp_seq=33 ttl=60 time=0.393 ms
64 bytes from 10.0.100.129: icmp_seq=34 ttl=60 time=0.577 ms
64 bytes from 10.0.100.129: icmp_seq=35 ttl=60 time=0.578 ms
64 bytes from 10.0.100.129: icmp_seq=36 ttl=60 time=0.546 ms
64 bytes from 10.0.100.129: icmp_seq=37 ttl=60 time=0.615 ms
64 bytes from 10.0.100.129: icmp_seq=38 ttl=60 time=0.611 ms
64 bytes from 10.0.100.129: icmp_seq=39 ttl=60 time=0.557 ms
64 bytes from 10.0.100.129: icmp_seq=40 ttl=60 time=0.595 ms
64 bytes from 10.0.100.129: icmp_seq=41 ttl=60 time=0.548 ms
64 bytes from 10.0.100.129: icmp_seq=42 ttl=60 time=0.588 ms
64 bytes from 10.0.100.129: icmp_seq=43 ttl=60 time=0.597 ms
64 bytes from 10.0.100.129: icmp_seq=44 ttl=60 time=0.610 ms
64 bytes from 10.0.100.129: icmp_seq=45 ttl=60 time=0.604 ms
64 bytes from 10.0.100.129: icmp_seq=46 ttl=60 time=0.572 ms
64 bytes from 10.0.100.129: icmp_seq=47 ttl=60 time=0.562 ms
64 bytes from 10.0.100.129: icmp_seq=48 ttl=60 time=0.602 ms
64 bytes from 10.0.100.129: icmp_seq=49 ttl=60 time=0.603 ms
64 bytes from 10.0.100.129: icmp_seq=50 ttl=60 time=0.603 ms
64 bytes from 10.0.100.129: icmp_seq=51 ttl=60 time=0.563 ms
64 bytes from 10.0.100.129: icmp_seq=52 ttl=60 time=0.608 ms
64 bytes from 10.0.100.129: icmp_seq=53 ttl=60 time=0.595 ms
64 bytes from 10.0.100.129: icmp_seq=54 ttl=60 time=0.511 ms
64 bytes from 10.0.100.129: icmp_seq=55 ttl=60 time=0.607 ms
64 bytes from 10.0.100.129: icmp_seq=56 ttl=60 time=0.612 ms
64 bytes from 10.0.100.129: icmp_seq=57 ttl=60 time=0.550 ms
64 bytes from 10.0.100.129: icmp_seq=58 ttl=60 time=0.639 ms
64 bytes from 10.0.100.129: icmp_seq=59 ttl=60 time=0.569 ms
64 bytes from 10.0.100.129: icmp_seq=60 ttl=60 time=0.616 ms

--- 10.0.100.129 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 58999ms
rtt min/avg/max/mdev = 0.389/0.582/0.685/0.070 ms
PING 10.0.100.129 (10.0.100.129) 56(84) bytes of data.
64 bytes from 10.0.100.129: icmp_seq=1 ttl=60 time=0.677 ms
64 bytes from 10.0.100.129: icmp_seq=2 ttl=60 time=0.573 ms
64 bytes from 10.0.100.129: icmp_seq=3 ttl=60 time=0.664 ms
64 bytes from 10.0.100.129: icmp_seq=4 ttl=60 time=0.558 ms
64 bytes from 10.0.100.129: icmp_seq=5 ttl=60 time=0.635 ms
64 bytes from 10.0.100.129: icmp_seq=6 ttl=60 time=0.516 ms
64 bytes from 10.0.100.129: icmp_seq=7 ttl=60 time=0.758 ms
64 bytes from 10.0.100.129: icmp_seq=8 ttl=60 time=0.620 ms
64 bytes from 10.0.100.129: icmp_seq=9 ttl=60 time=0.632 ms
64 bytes from 10.0.100.129: icmp_seq=10 ttl=60 time=0.592 ms
64 bytes from 10.0.100.129: icmp_seq=11 ttl=60 time=0.654 ms
64 bytes from 10.0.100.129: icmp_seq=12 ttl=60 time=0.587 ms
64 bytes from 10.0.100.129: icmp_seq=13 ttl=60 time=0.577 ms
64 bytes from 10.0.100.129: icmp_seq=14 ttl=60 time=0.540 ms
