PING 10.0.100.102 (10.0.100.102) 56(84) bytes of data.
64 bytes from 10.0.100.102: icmp_seq=1 ttl=63 time=4.71 ms
64 bytes from 10.0.100.102: icmp_seq=2 ttl=63 time=0.989 ms
64 bytes from 10.0.100.102: icmp_seq=3 ttl=63 time=0.850 ms
64 bytes from 10.0.100.102: icmp_seq=4 ttl=63 time=0.831 ms
64 bytes from 10.0.100.102: icmp_seq=5 ttl=63 time=0.839 ms
64 bytes from 10.0.100.102: icmp_seq=6 ttl=63 time=0.730 ms
64 bytes from 10.0.100.102: icmp_seq=7 ttl=63 time=0.862 ms
64 bytes from 10.0.100.102: icmp_seq=8 ttl=63 time=1.10 ms
64 bytes from 10.0.100.102: icmp_seq=9 ttl=63 time=0.832 ms
64 bytes from 10.0.100.102: icmp_seq=10 ttl=63 time=0.800 ms
64 bytes from 10.0.100.102: icmp_seq=11 ttl=63 time=0.889 ms
64 bytes from 10.0.100.102: icmp_seq=12 ttl=63 time=0.809 ms
64 bytes from 10.0.100.102: icmp_seq=13 ttl=63 time=0.833 ms
64 bytes from 10.0.100.102: icmp_seq=14 ttl=63 time=0.853 ms
64 bytes from 10.0.100.102: icmp_seq=15 ttl=63 time=0.784 ms
64 bytes from 10.0.100.102: icmp_seq=16 ttl=63 time=0.852 ms
64 bytes from 10.0.100.102: icmp_seq=17 ttl=63 time=0.822 ms
64 bytes from 10.0.100.102: icmp_seq=18 ttl=63 time=0.818 ms
64 bytes from 10.0.100.102: icmp_seq=19 ttl=63 time=0.853 ms
64 bytes from 10.0.100.102: icmp_seq=20 ttl=63 time=0.810 ms
64 bytes from 10.0.100.102: icmp_seq=21 ttl=63 time=0.821 ms
64 bytes from 10.0.100.102: icmp_seq=22 ttl=63 time=0.811 ms
64 bytes from 10.0.100.102: icmp_seq=23 ttl=63 time=0.830 ms
64 bytes from 10.0.100.102: icmp_seq=24 ttl=63 time=0.815 ms
64 bytes from 10.0.100.102: icmp_seq=25 ttl=63 time=0.792 ms
64 bytes from 10.0.100.102: icmp_seq=26 ttl=63 time=0.821 ms
64 bytes from 10.0.100.102: icmp_seq=27 ttl=63 time=0.851 ms
64 bytes from 10.0.100.102: icmp_seq=28 ttl=63 time=0.814 ms
64 bytes from 10.0.100.102: icmp_seq=29 ttl=63 time=0.836 ms
64 bytes from 10.0.100.102: icmp_seq=30 ttl=63 time=0.861 ms
64 bytes from 10.0.100.102: icmp_seq=31 ttl=63 time=0.775 ms
64 bytes from 10.0.100.102: icmp_seq=32 ttl=63 time=0.818 ms
64 bytes from 10.0.100.102: icmp_seq=33 ttl=63 time=0.793 ms
64 bytes from 10.0.100.102: icmp_seq=34 ttl=63 time=0.836 ms
